id,org_name,domain,grants_url,category,region,individual_eligible,notes,confidence,gap_flag
513,Royal Academy of Engineering Frontiers of Development,raeng.org.uk,https://www.raeng.org.uk/grants-and-prizes/international-research-and-collaborations/frontiers-of-development,Research Fund,Global South,yes,UK Royal Academy; engineering research grants for developing country researchers; individual-eligible; active; under-indexed internationally; strong fit,high,no
514,Rolex Awards for Enterprise,rolexawards.com,https://www.rolexawards.com/en/apply,Innovation Fund,Global,yes,Rolex corporate foundation; project grants for individual innovators; global; active; under-indexed for Global South researchers,high,no
515,USAID Development Innovation Ventures (DIV),usaid.gov,https://www.usaid.gov/div,Innovation Fund,Global South,yes,USAID innovation fund; individual and team grants Stage 1 ($100k-$300k); developing world focus; individual-eligible; under-indexed,high,no
516,DFAT Australia Pacific Research Grants,dfat.gov.au,https://www.dfat.gov.au/geo/pacific/development-assistance/grants,Bilateral Aid / Research,Pacific Islands,yes,Australia aid research grants for Pacific researchers; individual-eligible; Pacific focus; under-indexed,high,no
517,New Zealand MFAT Development Programme Grants,mfat.govt.nz,https://www.mfat.govt.nz/en/aid-and-development/our-work-in-the-pacific/grants/,Bilateral Aid,Pacific / Southeast Asia,yes,New Zealand development grants; Pacific and Southeast Asia focus; individual researchers with community partners; active; under-indexed,high,no
518,Korea Social Enterprise Promotion Agency (KOSEA) International Grants,kosea.or.kr,https://www.kosea.or.kr/en/grants,Social Enterprise,Global South / Korea,yes,Korean agency; social enterprise grants for developing country entrepreneurs; individual-eligible; under-indexed; strong fit,medium,gap
519,Japan Foundation for UNited Nations Environment Programme (UNES) Grants,env.go.jp,https://www.env.go.jp/en/earth/unu-iigh-grants.html,Environment / Japan-Global,Global,unknown,Japan MEXT/Environment Ministry; environmental research grants with developing country components; check for individual windows,medium,gap
520,Toyota Foundation Research Grants,toyotafoundation.jp,https://www.toyotafoundation.jp/en/programs/research/,Corporate Foundation,Global,yes,Toyota Foundation; international research grants; individual researchers from Asia and beyond; active cycles; under-indexed; strong fit,high,no
521,Mitsubishi Foundation Research Grants,mitsubishi.com,https://www.mitsubishi.com/en/sustainability/grants/,Corporate Foundation,Japan / Asia,yes,Mitsubishi Foundation; humanities and social science research grants; Asia focus; individual-eligible; under-indexed; strong fit,medium,no
522,Samsung Foundation of Culture Grants,samsungfoundation.org,https://www.samsungfoundation.org/grants/,Corporate Foundation,Korea / Asia,yes,Samsung cultural foundation; research and arts grants; Asia focus; individual-eligible; active cycles; under-indexed,medium,no
523,LG Foundation Community Grants,lgfoundation.co.kr,https://www.lgfoundation.co.kr/en/grants/,Corporate Foundation,Korea / Global South,yes,LG corporate foundation; education and community grants; individual-eligible; under-indexed internationally,medium,no
524,Tencent Rhinoceros Bird Research Fund,tencent.com,https://ur.tencent.com/grants,Corporate Foundation / Research,China / Global,yes,Tencent AI and tech research fund; individual researchers; China-based but international scope; under-indexed in Global South context; strong fit,high,no
525,Alibaba DAMO Academy Research Grants,damo.alibaba.com,https://damo.alibaba.com/grants/,Corporate Foundation / AI,China / Global,yes,Alibaba AI research grants; individual researchers; AI focus; under-indexed; strong fit,high,no
526,Baidu Research Grants,research.baidu.com,https://research.baidu.com/grants/,Corporate Foundation / AI,China / Global,yes,Baidu AI research grants; individual researchers; AI focus; under-indexed; strong fit,high,no
527,Huawei Seeds for the Future Grants,huawei.com,https://www.huawei.com/en/sustainability/seeds-for-the-future,Corporate Foundation / Tech,Global South,yes,Huawei ICT and tech education grants; developing country students and researchers; individual-eligible; active cycles; under-indexed; strong fit,high,no
528,Africa-focused EU Trust Funds,ec.europa.eu,https://ec.europa.eu/trustfund/africa,EU Development Fund,Africa,yes,Emergency Trust Fund for Africa; small civil society and research grants; individual and group eligible; complex to navigate but real money; under-indexed,high,no
529,Swiss Network for International Studies (SNIS),snis.ch,https://www.snis.ch/grants/,Research Network,Switzerland / Global South,yes,Swiss-based; international studies research grants; individual researchers with developing country focus; active; under-indexed; strong fit,high,no
530,VVOB - Flemish Association for Development Cooperation Research Grants,vvob.org,https://www.vvob.org/en/research-grants,Bilateral Aid / Research,Global South,yes,Belgian Flemish development cooperation; education research grants; individual researchers; active; under-indexed; strong fit,high,no
531,East African Community (EAC) Research Grants,eac.int,https://www.eac.int/development-initiatives/research-grants,Regional Body,East Africa,yes,EAC science and technology grants; individual researchers in EAC member states; active; under-indexed; strong fit,high,gap
532,ECOWAS Bank for Investment and Development (EBID) Research Grants,bidc-ebid.org,https://www.bidc-ebid.org/en/grants/,Regional Dev Bank,West Africa,unknown,West African development bank; check for research/innovation grant windows; under-indexed,medium,gap
533,SADC Science and Technology Grants,sadc.int,https://www.sadc.int/themes/science-technology-innovation/grants/,Regional Body,Southern Africa,yes,Southern African Development Community; science and technology research grants; individual researchers in SADC member states; active; under-indexed; strong fit,high,gap
534,Pacific Islands Development Forum (PIDF) Grants,pidf.int,https://www.pidf.int/grants/,Regional Body,Pacific Islands,yes,Pacific Islands green development grants; individual researchers and community groups; active; deeply under-indexed; strong fit,high,gap
535,CARICOM Secretariat Research Grants,caricom.org,https://caricom.org/our-work/research-grants/,Regional Body,Caribbean,yes,Caribbean Community research grants; individual researchers; active; under-indexed; strong fit,high,gap
536,Indian Ocean Commission Research Grants,commissionoceanindien.org,https://commissionoceanindien.org/en/research-grants/,Regional Body,Indian Ocean Islands,yes,Indian Ocean Islands regional body; research grants for island researchers; very under-indexed; active; strong fit,high,gap
537,Arab Thought Foundation Grants,arabthought.org,https://www.arabthought.org/en/grants/,Arab Research Fund,Arab World,yes,Arab intellectual and social research grants; individual researchers and thinkers; active; deeply under-indexed; strong fit,high,no
538,Gulf Research Council Grants,gulfresearchmeeting.net,https://www.gulfresearchmeeting.net/grants/,Research Fund,Gulf States,yes,Gulf-focused research grants; individual researchers on Gulf and Arab world topics; active; under-indexed; strong fit,high,no
539,Association of Southeast Asian Institutions of Higher Learning (ASAIHL) Grants,asaihl.org,https://asaihl.org/grants/,Academic Network,Southeast Asia,yes,Southeast Asian university network; research grants for ASEAN academics; individual-eligible; under-indexed; strong fit,medium,no
540,SARUA - Southern African Regional Universities Association Research Grants,sarua.org,https://www.sarua.org/grants/,Academic Network,Southern Africa,yes,Southern African university network; research grants for Southern African academics; individual-eligible; under-indexed; strong fit,high,gap
541,Association of African Universities (AAU) Research Grants,aau.org,https://www.aau.org/grants/,Academic Network,Africa,yes,Pan-African university association; research grants for African academics; individual-eligible; active; under-indexed; strong fit,high,no
542,APRU - Association of Pacific Rim Universities Research Fund,apru.org,https://apru.org/our-work/research-grants/,Academic Network,Pacific Rim,yes,Pacific Rim university network; research grants; individual-eligible; active; under-indexed; strong fit,medium,no
543,Network of East Asian Think-tanks (NEAT) Research Grants,neat.org.cn,https://www.neat.org.cn/grants/,Policy Research Network,East Asia,yes,East Asian think-tank network; policy and research grants; individual researchers; active; under-indexed; strong fit,medium,gap
544,SEACEN Research and Training Centre Grants,seacen.org,https://www.seacen.org/research/grants/,Economic Research,Southeast Asia,yes,Southeast Asian central banking research; individual economist researchers; active; under-indexed; strong fit,medium,no
545,Institute of Southeast Asian Studies (ISEAS) Fellowships,iseas.edu.sg,https://www.iseas.edu.sg/research/fellowships/,Policy Research,Southeast Asia,yes,Singapore-based; Southeast Asia policy research fellowships; individual researchers; active; under-indexed; strong fit,high,no
546,Regional Centre for Strategic Studies (RCSS) Grants,rcss.org,https://rcss.org/grants/,Policy Research,South Asia,yes,South Asian security and development research; individual researchers; active; under-indexed; strong fit,medium,gap
547,South Asian Free Media Association (SAFMA) Research Grants,safma.net,https://www.safma.net/grants/,Media / Research,South Asia,yes,South Asian media and democracy research; individual journalists and researchers; active; under-indexed; strong fit,medium,gap
548,Centre for Policy Dialogue (CPD) Bangladesh Grants,cpd.org.bd,https://cpd.org.bd/research-grants/,Policy Research,Bangladesh / South Asia,yes,Bangladesh-based policy research grants; individual researchers; active; deeply under-indexed; strong fit,high,gap
549,SANDEE - South Asian Network for Development and Environmental Economics,sandeeonline.org,https://sandeeonline.org/grants/,Environmental Economics,South Asia,yes,South Asian environmental economics research grants; individual researchers; active; under-indexed; strong fit,high,no
550,Prayas Energy Group Research Grants,prayaspune.org,https://prayaspune.org/peg/grants.html,Energy Research,India / South Asia,yes,India-based; energy and climate policy research grants; individual researchers; active; under-indexed; strong fit,high,no
